,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,PRES,TEMP,PSAL,DOXY,NITRAT,NITRIT,SILCAT,PHSPHT
267,,,0.0,,80.0,25.13333333,36.15666667,212.1,1.4,0.03,1.265,0.32
268,0.02,0.08,,,141.0,22.21666667,36.13666667,199.83333330000002,1.2,1.545,1.12,0.425
269,0.01,0.18,,,253.0,15.15333333,34.98,163.2333333,15.36,0.0,7.12,1.375
270,0.0,0.31,,,302.0,11.99333333,34.68333333,61.93333333,25.515,0.0,19.325,2.34
271,0.0,0.72,,,857.0,5.17,34.5,90.86666667,39.89,0.0,61.6,2.77
272,0.02,0.95,0.15,,1259.0,3.54,34.55,114.75,38.99,0.0,95.91,2.745
273,0.03,0.53,,,1513.0,2.925,34.58,127.85,38.195,0.0,110.94,2.71
285,0.01,0.24,,,20.0,26.93,35.83,213.5,3.925,0.08,1.61,0.435
286,0.0,0.32,,,45.0,26.93,35.84,214.9,3.9,0.08,1.465,0.445
287,,,,,65.0,26.7,35.97,216.9,2.81,0.055,1.075,0.375
288,0.0,0.3,,,200.0,19.23,35.61,197.5,3.53,0.045,0.88,0.45
289,0.0,0.07,0.0,,20.0,27.28666667,36.0,213.4666667,2.34,0.05,1.465,0.37
290,0.01,0.15,,,41.0,27.29333333,36.0,212.4,2.325,0.05,1.465,0.36
291,0.0,0.08,,,61.0,27.03333333,36.0,213.7666667,2.34,0.05,1.415,0.36
292,0.01,0.12,,,76.0,26.34666667,36.01333333,216.3666667,2.295,0.045,1.32,0.38
293,0.0,0.16,,,121.0,25.17666667,36.28333333,202.2666667,0.615,0.26,1.12,0.41
294,0.01,0.26,,,273.0,14.89,34.98666667,123.8,17.465,0.0,8.54,1.56
295,0.01,0.59,,,342.0,11.12333333,34.7,34.83333333,29.15,0.0,22.84,2.4
296,0.01,0.86,,,443.0,8.83,34.64666667,86.76666667,32.275,0.0,29.035,2.235
297,0.01,0.73,,,614.0,7.003333333,34.56,65.1,39.41,0.0,44.855,2.69
298,0.02,0.74,0.02,,865.0,5.226666667,34.51333333,74.8,41.545,0.0,65.84,2.895
299,0.01,0.83,,,1513.0,3.005,34.58,126.55,38.29,0.0,110.645,2.75
311,0.0,0.18,,,31.0,27.36,35.83,213.0,3.41,0.07,1.855,0.43
312,0.01,0.22,,,40.0,27.36,35.83,213.8,3.4,0.07,1.805,0.43
313,0.0,0.15,,,76.0,26.56,35.86,211.6,2.745,0.055,1.465,0.425
314,0.03,0.17,,,150.0,24.89,36.22,196.8,0.555,2.69,1.265,0.485
315,,,,,231.0,18.93,35.56,188.8,6.725,0.02,1.66,0.695
316,0.04,0.25,,0.03,30.0,27.52333333,35.87,211.7333333,2.505,0.05,1.56,0.36
317,,,,,60.0,27.5,35.88333333,211.7333333,2.54,0.05,1.365,0.365
318,,,,,86.0,26.57333333,35.87333333,206.56666669999998,2.825,0.08,1.465,0.475
319,0.06,0.18,,,110.0,25.77333333,36.11666667,197.5333333,1.545,0.29,1.415,0.45
320,,,,,156.0,22.72333333,36.16,188.5,1.36,2.635,1.17,0.5
321,0.09,0.36,,,283.0,13.31333333,34.81666667,107.83333329999999,16.0,0.0,7.37,1.435
322,0.16,0.65,,,362.0,10.39333333,34.69666667,65.26666667,29.34,0.0,22.45,2.21
323,0.08,0.88,,,463.0,8.356666667,34.62,95.8,32.67,0.0,30.795,2.245
324,0.14,0.8,,,716.0,6.193333332999999,34.53333333,66.33333333,40.175,0.0,49.245,2.735
325,0.26,0.72,,,872.0,5.146666667,34.51,80.63333333,40.985,0.0,63.89,2.83
326,0.09,0.74,,,1006.333333,4.5,34.52,92.6,40.575,0.0,76.04,2.76
327,0.03,0.71,,,1513.0,3.035,34.58,124.5,38.26,0.0,110.155,2.685
328,0.05,0.7,,,1765.0,2.575,34.605,134.15,37.615,0.0,120.6,2.65
336,0.06,0.13,,,30.0,28.07,35.76,210.1,1.585,0.05,1.755,0.32
337,0.04,0.2,,,145.0,23.34,36.26,187.3,1.64,2.145,1.365,0.48
338,0.03,0.15,0.0,,30.0,28.23333333,35.68,209.2,2.135,0.06,1.365,0.345
339,,,0.0,,60.0,28.22666667,35.68,209.2,2.175,0.06,1.415,0.355
340,0.02,0.23,0.0,,95.0,27.42666667,35.82333333,191.9,2.325,0.67,2.29,0.465
341,0.02,0.26,,,131.0,25.8,35.96333333,166.6333333,6.36,0.13,2.145,0.63
