STNNBR,lat,lon,GEOTRC_SAMPNO,depth,HgT_pM,HgT_flag,Hg0_pM,Hg0_flag,MMHg_pM,MMHg_flag,DMHg_pM,DMHg_flag
9,-12.00,-89.00,3331,2500,,9,,9,0.10,2,0.24,2
9,-12.00,-89.00,3330,2750,1.35,2,0.04,2,,9,,9
9,-12.00,-89.00,3329,2750,,9,,9,0.05,2,0.18,2
9,-12.00,-89.00,3328,3000,1.41,2,0.06,2,,9,,9
9,-12.00,-89.00,3327,3000,,9,,9,0.03,2,0.09,2
9,-12.00,-89.00,3326,3250,1.55,2,0.18,2,,9,,9
9,-12.00,-89.00,3325,3250,,9,,9,0.09,2,0.23,2
9,-12.00,-89.00,3324,3500,1.66,2,0.06,2,,9,,9
9,-12.00,-89.00,3323,3500,,9,,9,0.06,2,0.17,2
9,-12.00,-89.00,3322,3750,1.74,2,0.08,2,,9,,9
9,-12.00,-89.00,3321,3750,,9,,9,0.06,2,0.10,2
9,-12.00,-89.00,3320,4000,1.83,2,0.05,2,,9,,9
9,-12.00,-89.00,3319,4000,,9,,9,0.05,2,0.29,2
9,-12.00,-89.00,3318,4050,1.86,2,0.07,2,,9,,9
9,-12.00,-89.00,3317,4050,,9,,9,0.07,2,0.24,2
9,-12.00,-89.00,3316,4075,1.86,2,0.09,2,,9,,9
9,-12.00,-89.00,3315,4075,,9,,9,0.03,2,0.17,2
9,-12.00,-89.00,3314,4100,1.89,2,0.13,2,,9,,9
9,-12.00,-89.00,3313,4100,,9,,9,0.08,2,0.11,2
9,-12.00,-89.00,3312,4110,1.90,2,0.04,2,,9,,9
9,-12.00,-89.00,3311,4110,,9,,9,0.05,2,0.11,2
10,-12.00,-91.50,3494,2,0.12,2,,9,,9,,9
10,-12.00,-91.50,3479,20,0.15,2,0.00,3,,9,,9
10,-12.00,-91.50,3478,20,,9,,9,0.13,2,0.00,2
10,-12.00,-91.50,3477,70,0.26,2,0.00,2,,9,,9
10,-12.00,-91.50,3476,70,,9,,9,0.04,2,0.00,2
10,-12.00,-91.50,3475,130,0.47,2,0.04,2,,9,,9
10,-12.00,-91.50,3474,130,,9,,9,0.08,2,0.00,2
10,-12.00,-91.50,3473,165,0.90,2,0.05,2,,9,,9
10,-12.00,-91.50,3472,165,,9,,9,0.21,2,0.06,2
10,-12.00,-91.50,3471,200,0.91,2,0.04,2,,9,,9
10,-12.00,-91.50,3470,200,,9,,9,0.08,2,0.20,2
10,-12.00,-91.50,3469,250,0.72,3,0.02,2,,9,,9
10,-12.00,-91.50,3468,250,,9,,9,0.09,2,0.03,2
10,-12.00,-91.50,3467,300,1.08,2,0.01,2,,9,,9
