STNNBR,depth,lat,lon,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
13,800,-14,-99,0.42,0.02,0.08,0.02,60.965,43.91,0,3.07,805,5.59,34.51,46.9,4.82,0.02
13,900,-14,-99,0.52,0.01,0.21,0.06,71.115,44.04,0,3.115,906,5.02,34.515,51,4.825,0.02
13,1000,-14,-99,0.44,0.02,0.04,0.06,79.755,43.31,0,3.095,1007,4.54,34.52,62.7,4.83,0.02
13,1200,-14,-99,0.36,0.03,0.04,0.02,96.74,41.81,0,3.055,1209,3.805,34.55,81.75,4.83,0.02
13,1800,-14,-99,0.47,0.01,0.09,0.06,126.55,38.875,0,2.84,1816,2.525,34.615,119.1,4.835,0.02
13,2400,-14,-99,0.805,0.035,0.23,0.1,130.795,36.1,0,2.62,2426,1.905,34.66,158.15,4.84,0.01
13,2800,-14,-99,0.67,0.05,0.1,0.09,86.725,42.625,0,3.08,2833,1.79,34.67,161.9,4.84,0.01
13,3000,-14,-99,1.17,0.03,0.14,0.12,138.895,36.2,0,2.645,3036,1.79,34.67,161.4,4.84,0.01
13,3200,-14,-99,1.18,0.19,,0.16,141.625,36.37,0,2.655,3240,1.8,34.67,160.4,4.84,0.01
13,3600,-14,-99,1.22,0.05,0.25,0.08,146.655,36.81,0,2.685,3649,1.83,34.67,158.9,4.84,0.01
13,3700,-14,-99,1.25,0.03,,0.17,147.145,36.815,0,2.68,3751,1.83,34.67,158.7,4.84,0.01
13,3750,-14,-99,1.26,0.05,0.08,0.13,146.85,36.785,0,2.685,3802,1.84,34.67,158.8,4.84,0.01
13,3810,-14,-99,,0.03,0.14,0.22,147.73,36.885,0,2.685,3864,1.84,34.67,159.1,4.84,0.01
13,3835,-14,-99,,,0.16,0.05,148.46,36.915,0,2.685,3889,1.84,34.67,158.7,4.84,0.01
14,20,-15,-101.5,0.17,0.02,0.1,0,1.32,1.49,0.05,0.38,20,21.85,35.81,234.3,4.7,0.13
14,70,-15,-101.5,0.25,0.02,0.04,,1.27,1.19,0.05,0.385,70,21.83,35.87,233.7,4.72,0.24
14,125,-15,-101.5,0.12,0.03,0.11,,1.365,2.02,0.745,0.535,125,20.28,35.74,216.3,4.79,0.12
14,500,-15,-101.5,0.62,0.02,0.09,0.12,35.775,37.81,0,2.625,503,7.89,34.59,52.8,4.82,0.02
15,20,-16,-104,0.17,0,0.1,0,1.12,0.86,0.03,0.285,20,22.34,35.95333333,230.4333333,4.74,0.136666667
15,75,-16,-104,0.17,0.01,0,0,1.12,0.57,0.035,0.29,75,22.14333333,36.01333333,232.6666667,4.733333333,0.246666667
15,105,-16,-104,0.24,0.01,0,0,1.17,1.02,0.1,0.34,105,21.55333333,35.96,226.9,4.763333333,0.22
15,150,-16,-104,0.18,0.01,0,,1.025,1.23,1.09,0.385,150,20.13,35.71,214,4.79,0.073333333
15,410,-16,-104,0.82,0.03,0.04,0.13,29.19,36.755,0,2.66,412,8.686666667,34.57666667,29.1,4.81,0.02
15,500,-16,-104,0.72,0.045,0.14,0.085,34.31,39.07,0,2.685,503,7.476666667,34.53333333,50.66666667,4.813333333,0.02
15,750,-16,-104,0.73,0.01,0.05,0.11,54.765,42.185,0,2.935,755,5.565,34.49,65.55,4.82,0.02
15,1750,-16,-104,0.48,0.02,0.04,0.09,122.65,39.13,0,2.855,1766,2.585,34.61,118.4,4.84,0.02
15,2400,-16,-104,1.31,0.01,0,0.06,131.775,36.285,0,2.645,2426,1.915,34.66,157.3,4.84,0.01
15,2800,-16,-104,0.91,0.01,0.26,0.09,139.24,36.35,0,2.62,2833,1.82,34.67,161.8,4.84,0.01
15,3250,-16,-104,0.52,0.02,0.21,0.1,145.14,36.79,0,2.65,3292,1.81,34.67,159.7,4.84,0.01
15,3750,-16,-104,1.23,0.02,0.17,0.15,150.165,37.145,0,2.65,3803,1.83,34.67,158.5,4.84,0.02
16,20,-15.43,-106.5,0.3,0.02,0.05,,1.025,1.785,0.04,0.39,20,22.74,35.85,230.9,4.7,0.26
16,60,-15.43,-106.5,0.31,0.02,0,0,1.025,0.205,0.02,0.32,60,22.46,36.02,231.2,4.7,0.41
16,90,-15.43,-106.5,0.34,0.04,0.03,,1.025,0.095,0.03,0.34,90,22.17,36.15,228.8,4.76,0.22
16,125,-15.43,-106.5,0.24,0.02,0.04,,0.83,0.025,0.21,0.345,125,21.71,36.1,221.1,4.78,0.1
16,295,-15.43,-106.5,0.5,0,0.05,0.03,16.055,23.27,0,2.11,296,11.42,34.55,92.3,4.81,0.01
17,20,-15,-109.19,0.24,0,0.02,0,1.415,2.505,0.05,0.41,20,23.48333333,35.91,226.9666667,4.703333333,0.116666667
17,250,-15,-109.19,0.165,0.02,0,0.01,3.71,11.635,0,0.995,251,14.27,34.75666667,187.7666667,4.806666667,0.01
17,450,-15,-109.19,0.79,0,0.06,0.07,30.065,36.25,0,2.555,452,8.33,34.57333333,37.9,4.81,0.02
17,2000,-15,-109.19,0.76,0.02,0.02,0.1,127.97,37.335,0,2.695,2019,2.175,34.63,139.95,4.84,0.01
17,2100,-15,-109.19,0.98,0.02,0,0.11,128.21,36.95,0,2.67,2121,2.07,34.64,145.95,4.84,0.01
17,2500,-15,-109.19,1.085,0.03,0.13,0.12,135.09,36.105,0,2.56,2527,1.835,34.66,158.85,4.84,0.01
17,2901,-15,-109.19,1.41,0.02,,,141.825,36.505,0,2.605,2936,1.8,34.67,158.2,4.84,0.01
17,2999,-15,-109.19,1.41,0.02,,,143.925,36.655,0,2.62,3035,1.8,34.67,157.6,4.84,0.01
17,3200,-15,-109.19,,,0.05,0.11,145.68,36.825,0,2.625,3240,1.81,34.67,156.8,4.84,0.01
17,3600,-15,-109.19,,,0.09,0.1,97.555,38.445,0,2.68,3649,1.84,34.67,157.7,4.84,0.02
17,3650,-15,-109.19,,,0,0.2,142.895,36.955,0,2.65,3700,1.85,34.67,158.1,4.84,0.01
17,3675,-15,-109.19,,,0.05,0.1,147.535,36.935,0,2.65,3726,1.85,34.67,158.4,4.83,0.01
