STNNBR,depth,lat,lon,HgP_pmol_ug,MMHgP_pmol_ug,POC_umolC_L,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
23,3000,-14.0,-120.0,0.0,0.0,0.03,,,,0.04,133.43,35.475,0.0,2.525,3036.0,1.67,34.67,177.9,4.84,0.02
23,3300,-14.0,-120.0,0.0,0.0,0.03,,,,0.14,134.455,35.615,0.0,2.545,3342.0,1.65,34.67,180.8,4.84,0.02
23,3350,-14.0,-120.0,0.0,0.0,0.03,,,0.0,0.02,134.5,35.695,0.0,2.545,3393.0,1.65,34.67,181.2,4.84,0.02
25,60,-12.54,-125.0,0.0,0.0,1.2,,,,,1.17,2.355,0.04,0.36,60.0,26.22666667,36.02333333,215.5333333,4.73,0.14
25,86,-12.54,-125.0,0.0,0.0,1.14,0.15,0.04,,,1.075,2.175,0.04,0.37,86.0,25.41,36.00666667,219.16666669999998,4.733333333,0.23
25,1000,-12.54,-125.0,0.0,0.54,0.09,,,,0.235,76.97,39.89,0.0,2.81,1007.0,4.336666667,34.52,98.16666667,4.83,0.02
25,1250,-12.54,-125.0,0.01,0.0,0.05,,,,0.16,95.66,39.02,0.0,2.795,1259.0,3.465,34.55,113.65,4.83,0.02
25,2550,-12.54,-125.0,0.02,0.0,0.04,,,,0.12,133.92,36.03,0.0,2.595,2578.0,1.835,34.66,161.5,4.84,0.02
25,2650,-12.54,-125.0,0.02,0.0,0.05,,,,0.22,134.11,35.905,0.0,2.595,2680.0,1.82,34.66,162.7,4.84,0.02
25,3000,-12.54,-125.0,0.04,0.0,0.05,,,,0.26,133.135,35.4,0.0,2.55,3036.0,1.72,34.67,172.7,4.84,0.02
26,20,-11.71,-128.08,0.0,0.0,1.17,0.11,0.0,,0.0,1.415,2.31,0.04,0.36,20.0,26.62666667,36.07,214.56666669999998,4.733333333,0.11
26,45,-11.71,-128.08,0.0,0.0,1.3,0.13,0.0,,0.0,1.27,2.31,0.04,0.375,45.0,26.56,36.10333333,215.7,4.73,0.146666667
26,80,-11.71,-128.08,0.0,0.0,0.9,,,,0.0,1.265,1.4,0.03,0.32,80.0,25.13333333,36.15666667,212.1,4.7466666669999995,0.24
26,141,-11.71,-128.08,0.01,0.0,0.33,0.08,0.02,,,1.12,1.2,1.545,0.425,141.0,22.21666667,36.13666667,199.83333330000002,4.79,0.07666666700000001
