Year,sta,depth,lat,lon,Hg_total,Hg_total_flag,Hg0,Hg0_flag,MMHg_fM,MMHg_flag,DMHg_fM,DMHg_flag
2010,11,351,17.35,-22.78,0.74,2,0.47,2,105.00,2,52.00,4
2010,11,450,17.35,-22.78,0.71,2,0.35,3,140.00,2,26.00,4
2010,11,600,17.35,-22.78,0.69,2,0.61,2,64.00,2,,4
2010,11,801,17.35,-22.78,1.16,2,0.54,2,,4,,4
2010,11,964,17.35,-22.78,0.95,2,0.37,2,54.00,2,,4
2010,11,1098,17.35,-22.78,0.83,2,0.25,3,55.00,2,26.00,4
2010,11,1248,17.35,-22.78,0.70,2,0.39,4,,4,50.00,4
2010,11,1499,17.35,-22.78,0.98,2,0.29,2,54.00,2,,4
2010,11,1748,17.35,-22.78,1.06,2,0.18,4,48.00,2,,4
2010,11,1998,17.35,-22.78,0.70,2,0.29,2,,4,,4
2010,11,2248,17.35,-22.78,0.90,2,0.27,4,44.00,2,26.00,4
2010,11,2499,17.35,-22.78,1.26,2,0.17,3,20.00,2,70.00,4
2010,11,2748,17.35,-22.78,,2,0.30,2,23.00,2,80.00,4
2010,11,2998,17.35,-22.78,,2,0.35,2,29.00,2,,4
2010,11,3198,17.35,-22.78,,2,0.34,2,22.00,2,,4
2010,11,3298,17.35,-22.78,,2,0.24,3,,4,105.00,4
2010,12,2,17.40,-24.50,0.37,2,0.00,2,19.00,2,77.00,4
2010,12,38,17.40,-24.50,0.20,2,0.04,2,40.00,2,104.00,4
2010,12,48,17.40,-24.50,0.47,2,0.09,2,37.00,2,,4
2010,12,72,17.40,-24.50,0.80,3,0.07,2,,4,,4
2010,12,90,17.40,-24.50,0.90,2,0.10,2,,4,,4
2010,12,135,17.40,-24.50,0.73,2,0.17,2,46.00,2,,4
2010,12,185,17.40,-24.50,0.59,2,,2,,4,,4
2010,12,235,17.40,-24.50,0.99,2,0.26,2,60.00,2,,4
2010,12,286,17.40,-24.50,1.33,2,0.33,2,116.00,2,,4
2010,12,351,17.40,-24.50,0.78,2,0.45,2,,4,,4
2010,12,451,17.40,-24.50,0.61,2,0.39,2,128.00,2,,4
2010,12,601,17.40,-24.50,0.60,2,0.27,2,110.00,2,,4
2010,12,801,17.40,-24.50,0.98,2,0.31,2,,4,82.00,4
2010,12,964,17.40,-24.50,0.51,2,0.10,3,75.00,2,,4
2010,12,1099,17.40,-24.50,0.50,3,0.16,2,,4,52.00,4
2010,12,1257,17.40,-24.50,0.58,2,0.16,2,,4,,4
2010,12,1499,17.40,-24.50,0.68,2,0.05,3,45.00,2,53.00,4
2010,12,1749,17.40,-24.50,0.79,2,0.17,2,38.00,2,,4
2010,12,1999,17.40,-24.50,0.53,2,0.15,2,52.00,2,56.00,4
2010,12,2248,17.40,-24.50,0.63,2,0.13,2,25.00,2,27.00,4
2010,12,2499,17.40,-24.50,0.57,2,0.09,2,21.00,2,,4
2010,12,2749,17.40,-24.50,0.55,2,0.07,2,,4,,4
2010,12,2998,17.40,-24.50,0.92,2,0.07,2,27.00,2,,4
2010,12,3198,17.40,-24.50,,2,0.17,2,33.00,2,,4
2010,12,3498,17.40,-24.50,,2,0.21,2,84.00,2,,4
2011,1,2,39.70,-69.80,0.47,2,0.12,2,164.00,2,125.00,2
2011,1,30,39.70,-69.80,0.54,2,0.13,2,,4,0.00,2
2011,1,58,39.70,-69.80,0.56,2,0.15,2,,4,0.00,2
2011,1,90,39.70,-69.80,0.72,2,0.33,2,,4,87.00,2
2011,1,110,39.70,-69.80,0.69,2,0.40,2,,4,62.00,2
2011,1,135,39.70,-69.80,0.78,2,0.40,2,,4,131.00,2
2011,1,189,39.70,-69.80,0.84,2,0.43,2,,4,245.00,2
2011,1,235,39.70,-69.80,0.85,2,0.48,2,,4,0.00,2
2011,1,285,39.70,-69.80,0.88,2,0.45,2,,4,247.00,2
2011,1,325,39.70,-69.80,0.90,2,,3,,4,234.00,2
2011,1,420,39.70,-69.80,0.87,2,0.40,2,,4,293.00,2
2011,1,475,39.70,-69.80,0.85,2,0.42,2,,4,236.00,2
2011,1,525,39.70,-69.80,0.97,3,0.37,2,,4,252.00,2
2011,1,600,39.70,-69.80,0.95,3,0.41,2,,4,84.00,6
2011,1,669,39.70,-69.80,0.87,2,,3,,4,120.00,2
2011,1,825,39.70,-69.80,0.87,2,0.35,2,,4,119.00,6
2011,1,965,39.70,-69.80,0.84,2,,3,240.00,2,163.00,2
2011,1,1075,39.70,-69.80,0.73,3,0.37,3,226.00,3,162.00,6
2011,1,1200,39.70,-69.80,0.64,3,0.37,3,222.00,3,165.00,3
2011,1,1350,39.70,-69.80,0.61,3,0.41,3,187.00,6,103.00,6
2011,1,1500,39.70,-69.80,0.64,2,0.38,2,36.00,2,,4
2011,1,1650,39.70,-69.80,0.67,2,0.32,2,,4,99.00,2
2011,1,1800,39.70,-69.80,0.66,2,0.36,2,51.00,2,,4
2011,1,2000,39.70,-69.80,0.70,2,0.31,2,,4,57.00,2
2011,1,2050,39.70,-69.80,0.72,2,0.37,2,37.00,2,,4
2011,2,2,39.35,-69.54,0.60,2,0.07,2,0.00,2,0.00,2
2011,2,35,39.35,-69.54,0.99,2,0.34,2,0.00,2,23.00,2
2011,2,46,39.35,-69.54,0.78,2,0.37,2,6.00,2,0.00,2
2011,2,70,39.35,-69.54,1.19,2,0.52,2,0.00,2,58.00,2
2011,2,100,39.35,-69.54,1.09,2,0.56,2,101.00,2,202.00,2
2011,2,135,39.35,-69.54,1.22,2,0.72,2,125.00,2,344.00,2
2011,2,187,39.35,-69.54,,4,0.59,2,296.00,2,273.00,2
2011,2,235,39.35,-69.54,1.41,2,0.75,2,291.00,2,133.00,2
2011,2,289,39.35,-69.54,1.48,2,0.68,2,,4,199.00,2
2011,2,325,39.35,-69.54,1.25,2,0.60,2,357.00,2,264.00,2
2011,2,420,39.35,-69.54,1.11,2,0.57,2,397.00,2,493.00,3
2011,2,475,39.35,-69.54,1.02,2,0.41,2,0.00,2,171.00,2
2011,2,525,39.35,-69.54,1.18,2,0.49,2,221.00,2,91.00,2
2011,2,600,39.35,-69.54,0.87,2,0.24,2,0.00,2,22.00,2
2011,2,669,39.35,-69.54,,3,,3,0.00,2,100.00,2
2011,2,825,39.35,-69.54,,3,,3,0.00,2,13.00,2
2011,2,965,39.35,-69.54,1.06,2,0.50,2,0.00,2,0.00,2
