Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT,HgP_pmol_ug,MMHgP_pmol_ug,POC_ugram_L
2011,16,92,26.14,-44.83,0.63,0.15,152.0,1.0,92.0,22.6021,37.17386667,221.0333333,4.6573,0.090333333,0.14500000000000002,0.005,0.01,0.0,0.0028982079999999998,,9.1605
2011,16,235,26.14,-44.83,0.84,0.38,119.0,8.0,237.0,18.02583333,36.56736667,189.6,4.6905,0.004333333,1.07,5.08,0.0,0.225,,,
2011,16,1500,26.14,-44.83,1.12,0.29,,84.0,1516.0,4.99965,35.09235,231.4,4.7204,0.005,14.100000000000001,18.975,0.0,1.29,0.0051861170000000005,,1.0671
2011,18,40,24.15,-40.22,0.71,0.11,63.0,3.0,40.0,25.21765,37.6324,205.45,4.64775,0.0355,0.24,0.0,0.0,0.005,0.004791320999999999,0.00239566,15.8825
2011,18,421,24.15,-40.22,1.2,0.36,292.0,12.0,424.0,14.87555,36.03465,176.8,4.69535,0.0035,3.12,11.535,0.0,0.675,0.004738947,0.045809823,1.7826
2011,22,51,19.43,-29.38,0.42,0.1,111.0,4.0,51.0,24.8187,37.1725,206.2,4.64925,0.045,0.05,0.0,0.0,0.0,0.0028462809999999996,,13.3402
2011,22,95,19.43,-29.38,0.35,0.09,,3.0,95.66666667,22.3062,37.02836667,203.2333333,4.6525,0.147,0.19,0.135,0.07500000000000001,0.02,0.0031066379999999997,,11.0321
2011,22,125,19.43,-29.38,0.53,0.2,,16.0,126.0,19.87755,36.71425,156.7,4.67495,0.0425,1.07,6.025,0.02,0.375,0.004763039,,5.4739
2011,22,186,19.43,-29.38,0.73,0.22,19.0,41.0,187.0,16.50795,36.1741,110.7,4.685,0.0085,3.7,14.76,0.0,0.86,,,
2011,22,236,19.43,-29.38,0.86,0.18,1.0,56.0,238.0,15.3804,36.058,114.45,4.6874,0.0055,4.34,15.725000000000001,0.0,0.93,0.004658420999999999,0.005823027,3.4836
2011,24,40,17.4,-24.5,0.47,,178.0,13.0,40.0,24.7018,36.82375,207.1,4.6316,0.048,0.0,0.005,0.0,0.0,0.002004016,0.000668005,18.5296
2011,24,71,17.4,-24.5,0.58,0.06,0.0,140.0,71.0,21.62265,36.6588,201.3,4.61325,0.2235,0.49,0.6799999999999999,0.11,0.13,0.002556362,0.002556362,12.1613
2011,24,451,17.4,-24.5,1.38,0.25,110.0,191.0,454.5,10.557425,35.26955,61.875,4.6912,0.0085,12.684999999999999,30.785,0.0,1.8650000000000002,,,
2011,24,801,17.4,-24.5,1.29,,183.0,76.0,808.0,7.1641,34.92195,101.2,4.7064,0.006999999999999999,20.835,32.455,0.0,2.11,0.0027487370000000002,0.046728522,1.5843
