Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT
2010,3,2501,35.2,-16,0.22,,21,,2535,3.3089,34.9987,247.1,4.6777,0.005,28.01,19.49,0,1.34
2010,3,2501,35.2,-16,0.22,,21,,2535,3.3089,34.9987,247.1,4.6777,0.005,28.01,19.47,0,1.34
2010,3,2601,35.2,-16,0.3,,,,2637,3.1663,34.9835,246.7,4.6777,0.004,29.96,19.72,0,1.36
2010,3,2601,35.2,-16,0.3,,,,2637,3.1663,34.9835,246.7,4.6777,0.004,29.76,19.71,0,1.35
2010,3,2681,35.2,-16,0.86,,53,,2718,3.0284,34.9689,246.3,4.6778,0.004,31.72,19.91,0,1.37
2010,3,2681,35.2,-16,0.86,,53,,2718,3.0284,34.9689,246.3,4.6778,0.004,31.91,19.89,0,1.39
2010,5,31,31,-22,1.18,0.12,32,,31,24.31545,37.235,212.15,4.6149,0.015,0.39,0,0,0
2010,5,31,31,-22,1.18,0.12,32,,31,24.31545,37.235,212.15,4.6149,0.015,0.49,0,0,0
2010,5,52,31,-22,0.59,0.09,25,,52,21.16685,36.72265,247.5,4.6068,0.0365,0.29,0,0,0
2010,5,52,31,-22,0.59,0.09,25,,52,21.16685,36.72265,247.5,4.6068,0.0365,0.39,0,0,0
2010,5,81,31,-22,0.39,0.1,23,,81.66666667,19.37656667,36.65813333,218.4,4.617133333,0.062,0.58,0,0,0
2010,5,81,31,-22,0.39,0.1,23,,81.66666667,19.37656667,36.65813333,218.4,4.617133333,0.062,0.58,0,0,0
2010,5,101,31,-22,0.43,0.1,29,,102,18.50785,36.59855,206.55,4.61895,0.102,0.68,0.07,0.07,0
2010,5,101,31,-22,0.43,0.1,29,,102,18.50785,36.59855,206.55,4.61895,0.102,0.68,0.07,0.07,0.01
2010,5,136,31,-22,0.55,0.15,35,,137,17.94685,36.5444,203.15,4.63325,0.072,1.27,2.77,0.02,0.15
2010,5,136,31,-22,0.55,0.15,35,,137,17.94685,36.5444,203.15,4.63325,0.072,1.17,2.74,0.02,0.15
2010,5,187,31,-22,0.61,0.23,29,,188,17.39755,36.46635,199.95,4.6475,0.0125,1.46,3.78,0.01,0.2
2010,5,187,31,-22,0.61,0.23,29,,188,17.39755,36.46635,199.95,4.6475,0.0125,1.46,3.78,0.01,0.2
2010,5,251,31,-22,0.62,0.2,30,,253,16.49925,36.3137,197.95,4.6509,0.0035,2.24,5.68,0.01,0.33
