Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT,HgP_pmol_ug,HgP_flag,MMHgP_pmol_ug,MMHgP_flag,POC_ugram_L,POC_sink_flag,POC_susp_flag
2010,9,665,17.35,-18.25,1.05,0.56,54,,671,8.38155,35.03815,71.5,4.6606,0.007,19.13,34.12,0,2.17,0.00280851,2,0.261191445,2,3.4114,4,1
2010,9,797,17.36,-18.25,0.81,0.54,38,,804,7.2723,34.93755,87.3,4.6641,0.007,22.35,34.37,0,2.22,0.002555659,2,0.376959711,2,1.9804,1,1
2010,9,797,17.36,-18.25,0.81,0.54,38,,804,7.2723,34.93755,87.3,4.6641,0.007,22.25,33.97,0,2.21,0.002555659,2,0.376959711,2,1.9804,1,1
2010,9,2900,17.36,-18.25,,0.32,,,2942,2.7748,34.9289,228.9,4.6692,0.007,38.65,21.8,0,1.52,0.00229356,2,,4,1.6622,1,1
2010,9,2900,17.36,-18.25,,0.32,,,2942,2.7748,34.9289,228.9,4.6692,0.007,38.55,21.8,0,1.51,0.00229356,2,,4,1.6622,1,1
2010,9,2999,17.36,-18.25,,0.31,,,3043,2.6959,34.9234,222.4,4.6398,0.009,41.67,22.05,0,1.54,0.001370405,2,0.001598806,2,3.0397,1,1
2010,9,2999,17.36,-18.25,,0.31,,,3043,2.6959,34.9234,222.4,4.6398,0.009,41.87,21.99,0,1.53,0.001370405,2,0.001598806,2,3.0397,1,1
2010,10,32,17.35,-20.82,0.84,0.08,19,27,32,27.0735,36.27185,201.5,4.5851,0.05,0.39,0,0.01,0.04,0.001384662,2,0.028731733,2,16.0063,1,1
2010,10,32,17.35,-20.82,0.84,0.08,19,27,32,27.0735,36.27185,201.5,4.5851,0.05,0.49,0.01,0,0.03,0.001384662,2,0.028731733,2,16.0063,1,1
2010,10,51,17.35,-20.82,0.47,0.12,18,,51,19.56015,36.12005,125.65,4.54585,0.3435,3.9,16.03,0.44,1.13,,2,,2,0.9658,1,1
2010,10,51,17.35,-20.82,0.47,0.12,18,,51,19.56015,36.12005,125.65,4.54585,0.3435,4,16.26,0.44,1.17,,2,,2,0.9658,1,1
2010,10,101,17.35,-20.82,1.17,0.13,,52,102,14.65485,35.6018,61.95,4.63625,0.0465,7.61,25.09,0.02,1.56,0.003556658,2,0.059751859,2,6.4033,1,1
2010,10,101,17.35,-20.82,1.17,0.13,,52,102,14.65485,35.6018,61.95,4.63625,0.0465,7.8,25.14,0.02,1.56,0.003556658,2,0.059751859,2,6.4033,1,1
2010,10,141,17.35,-20.82,0.88,0.14,,,142,14.0325,35.6152,74.15,4.64375,0.0075,8.39,24.56,0.01,1.53,,2,,2,,1,1
2010,10,141,17.35,-20.82,0.88,0.14,,,142,14.0325,35.6152,74.15,4.64375,0.0075,8.29,24.48,0.01,1.52,,2,,2,,1,1
2010,10,186,17.35,-20.82,1.16,0.46,33,79,187,12.93905,35.41515,75.3,4.645,0.0075,9.27,25.77,0.01,1.61,0.003834851,2,,4,3.8414,1,1
2010,10,186,17.35,-20.82,1.16,0.46,33,79,187,12.93905,35.41515,75.3,4.645,0.0075,9.27,25.77,0.01,1.61,0.003421093,2,,4,3.8784,1,1
2010,10,186,17.35,-20.82,1.16,0.46,33,79,187,12.93905,35.41515,75.3,4.645,0.0075,9.27,25.78,0.01,1.62,0.003834851,2,,4,3.8414,1,1
2010,10,186,17.35,-20.82,1.16,0.46,33,79,187,12.93905,35.41515,75.3,4.645,0.0075,9.27,25.78,0.01,1.62,0.003421093,2,,4,3.8784,1,1
2010,10,235,17.35,-20.82,1.19,0.53,54,,237,12.5862,35.41865,71.2,4.6465,0.0065,9.76,26.57,0,1.65,,2,,4,,1,1
2010,10,235,17.35,-20.82,1.19,0.53,54,,237,12.5862,35.41865,71.2,4.6465,0.0065,9.76,26.57,0,1.65,0.002567686,2,0.292716244,2,3.7097,1,1
2010,10,235,17.35,-20.82,1.19,0.53,54,,237,12.5862,35.41865,71.2,4.6465,0.0065,9.66,26.52,0.01,1.65,,2,,4,,1,1
2010,10,235,17.35,-20.82,1.19,0.53,54,,237,12.5862,35.41865,71.2,4.6465,0.0065,9.66,26.52,0.01,1.65,0.002567686,2,0.292716244,2,3.7097,1,1
2010,10,421,17.35,-20.82,1.2,0.64,56,,424,10.68465,35.26465,52.9,4.652,0.007,13.66,32.35,0,1.97,0.006567465,2,0.006567465,2,2.4883,1,1
2010,10,421,17.35,-20.82,1.2,0.64,56,,424,10.68465,35.26465,52.9,4.652,0.007,13.66,32.35,0,1.97,,2,,2,0.5523,1,1
2010,10,421,17.35,-20.82,1.2,0.64,56,,424,10.68465,35.26465,52.9,4.652,0.007,13.85,32.28,0,1.96,0.006567465,2,0.006567465,2,2.4883,1,1
2010,10,421,17.35,-20.82,1.2,0.64,56,,424,10.68465,35.26465,52.9,4.652,0.007,13.85,32.28,0,1.96,,2,,2,0.5523,1,1
2010,10,665,17.35,-20.82,0.86,0.58,38,,671,8.2156,35.0084,70.55,4.66215,0.008,19.81,34.84,0,2.33,0.002107724,2,0.464753064,2,2.5908,1,1
