STNNBR,LATITUDE,LONGITUDE,GEOTRC_SAMPNO,CTDPRS,CTDDEPTH,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
4,65.8119,-168.6272,-999,41.6,41,5.3503,32.4687,2,-999,9,302.2,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,45.4,45,5.3338,32.472,2,-999,9,302.3,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,45.4,45,5.3338,32.472,2,-999,9,302.3,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,46,46,5.3274,32.4732,2,-999,9,302.6,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,-999,46,46,5.3274,32.4732,2,-999,9,302.6,1,-999,9,-999,9,-999,9,-999,9
4,65.8119,-168.6272,10607,47.3,47,5.3283,32.4729,2,32.4714,2,302.2,1,29.26,2,11.16,2,0.14,2,1.45,2
4,65.8119,-168.6272,10606,47.3,47,5.3283,32.4729,2,32.4671,2,302.2,1,29.36,2,11.06,2,0.14,2,1.41,2
5,66.3284,-168.9007,-999,13.1,13,5.038,32.5251,2,-999,9,310.5,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,13.1,13,5.038,32.5251,2,-999,9,310.5,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,14.9,15,4.9777,32.5551,2,-999,9,318.5,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,14.9,15,4.9777,32.5551,2,-999,9,318.5,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,16.2,16,4.9342,32.574,2,-999,9,326.2,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,16.2,16,4.9342,32.574,2,-999,9,326.2,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,10630,16.9,17,4.8965,32.5873,2,32.6755,4,329.5,1,37.77,2,14.8,2,0.14,2,1.6,2
5,66.3284,-168.9007,10629,16.9,17,4.8965,32.5873,2,-999,5,329.5,1,37.57,2,14.73,2,0.14,2,1.6,2
5,66.3284,-168.9007,-999,30.4,30,4.0753,32.701,2,-999,9,302.1,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,30.4,30,4.0753,32.701,2,-999,9,302.1,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,30.9,31,4.072,32.7016,2,-999,9,302,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,30.9,31,4.072,32.7016,2,-999,9,302,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,31.4,31,4.0718,32.7013,2,-999,9,301.9,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,31.4,31,4.0718,32.7013,2,-999,9,301.9,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,10628,34,34,4.0625,32.7019,2,32.7102,2,302.2,1,39.72,2,16.79,2,0.15,2,1.77,2
5,66.3284,-168.9007,10627,34,34,4.0625,32.7019,2,32.7037,2,302.2,1,39.53,2,16.63,2,0.15,2,1.76,2
5,66.3284,-168.9007,-999,47.2,47,3.8538,32.7141,2,-999,9,301,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,47.2,47,3.8538,32.7141,2,-999,9,301,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,47.8,47,3.8431,32.7153,2,-999,9,300.8,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,47.8,47,3.8431,32.7153,2,-999,9,300.8,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,48.5,48,3.8449,32.7151,2,-999,9,300.8,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,-999,48.5,48,3.8449,32.7151,2,-999,9,300.8,1,-999,9,-999,9,-999,9,-999,9
5,66.3284,-168.9007,10626,49.5,49,3.8374,32.7155,2,32.7143,2,300.2,1,40.7,2,17.8,2,0.16,2,1.83,2
5,66.3284,-168.9007,10625,49.5,49,3.8374,32.7155,2,32.7151,2,300.2,1,40.99,2,17.85,2,0.16,2,1.84,2
6,68.0032,-168.0065,-999,12.6,13,5.594,31.7266,2,-999,9,321.4,1,-999,9,-999,9,-999,9,-999,9
