Station_ID	Sample_Depth	Start_Latitude	Start_Longitude	Hg0_pM	HgT_pM	DMHg_pM	MMHg_pM	TRANSM	FLUORM	CTDPRS	CTDTMP	CTDSAL	CTDOXY	SILCAT	NITRAT	NITRIT	PHSPHT
26	52	83.729	-174.399	0.24	0.58	0.013	0.008	4.4149	0.171	52.5	-1.3112	30.4657	354	10.29	2.91	0.07	0.95
26	52	83.729	-174.399	0.24	0.58	0.013	0.008	4.4149	0.171	52.5	-1.3112	30.4657	354	15.68	5.14	0.04	1.11
26	70	83.729	-174.399	0.22	0.5	0.012	0.024	4.4455	0.047	70.5	-1.3032	32.2072	269.9	26.22	11.11	0.01	1.31
26	70	83.729	-174.399	0.22	0.5	0.012	0.024	4.4455	0.047	70.5	-1.3032	32.2072	269.9	30.54	11.16	0.01	1.45
26	70	83.729	-174.399	0.22	0.5	0.012	0.024	4.4441	0.038	70.5	-1.3032	32.2072	269.9	26.22	11.11	0.01	1.31
26	70	83.729	-174.399	0.22	0.5	0.012	0.024	4.4441	0.038	70.5	-1.3032	32.2072	269.9	30.54	11.16	0.01	1.45
26	95	83.729	-174.399	0.41	0.52	0.02	0.008	4.454	0.02	95.7	-1.3712	33.6115	286.3	10.56	8.24	0.01	0.79
26	95	83.729	-174.399	0.41	0.52	0.02	0.008	4.454	0.02	95.7	-1.3712	33.6115	286.3	11.93	8.42	0.01	0.83
26	95	83.729	-174.399	0.41	0.52	0.02	0.008	4.4542	0.021	95.7	-1.3712	33.6115	286.3	10.56	8.24	0.01	0.79
26	95	83.729	-174.399	0.41	0.52	0.02	0.008	4.4542	0.021	95.7	-1.3712	33.6115	286.3	11.93	8.42	0.01	0.83
26	130	83.729	-174.399	0.18	1.18	0.013	0.025	4.4597	0.015	131.1	-1.3137	34.2096	304.1	6.16	7.98	0.01	0.67
26	130	83.729	-174.399	0.18	1.18	0.013	0.025	4.4597	0.015	131.1	-1.3137	34.2096	304.1	6.26	7.92	0.01	0.68
26	130	83.729	-174.399	0.18	1.18	0.013	0.025	4.4557	0.015	131.1	-1.3137	34.2096	304.1	6.16	7.98	0.01	0.67
26	130	83.729	-174.399	0.18	1.18	0.013	0.025	4.4557	0.015	131.1	-1.3137	34.2096	304.1	6.26	7.92	0.01	0.68
26	200	83.729	-174.399	0.05	0.43	0.017	0.055	4.4658	0.013	202.1	0.1008	34.6114	295.8	5.77	10.22	0.01	0.76
