Station_ID,Start_Latitude,Start_Longitude,Sample_Depth,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM
48,80.499,-148.597,415,0.09,0.5,0.033,0.045
48,80.499,-148.597,495,0.19,0.76,0.074,0.051
48,80.499,-148.597,500,0.07,0.87,0.09,0.012
48,80.499,-148.597,710,0.19,0.33,0.035,0.026
48,80.499,-148.597,1050,0.36,0.55,0.059,
48,80.499,-148.597,1400,0.07,0.24,0.066,0.016
48,80.499,-148.597,1750,0.09,0.65,0.012,
48,80.499,-148.597,2100,0,0.23,0.023,0
48,80.499,-148.597,2450,0.05,0.25,0.006,
48,80.499,-148.597,2900,0.15,0.31,0.016,0.011
48,80.499,-148.597,3300,0.1,0.26,0.014,
48,80.499,-148.597,3655,0.08,0.27,0.034,0.023
48,80.499,-148.597,3730,0.05,0.27,0.006,0.011
48,80.499,-148.597,3780,0.1,0.22,0.025,0
51,78.174,-147.833,1,0,1.21,0.006,0.031
51,78.174,-147.833,20,0.14,0.73,0.001,0.015
51,78.174,-147.833,38,0,0.78,0.006,0.031
51,78.174,-147.833,55,0,0.78,0.039,0.175
52,77.481,-147.954,1,0.07,0.85,0.029,0.08
52,77.481,-147.954,19,0.06,1.57,0.001,0.025
52,77.481,-147.954,23,0.57,,0.005,0.026
52,77.481,-147.954,36,0.07,1.06,0.004,0.02
52,77.481,-147.954,60,0.37,0.79,0.054,0.025
52,77.481,-147.954,90,0.27,0.79,0.075,0.04
52,77.481,-147.954,120,0.42,1.02,0.047,0.012
52,77.481,-147.954,150,0.66,0.67,0.041,0.02
52,77.481,-147.954,190,0.1,1.23,0.052,0.02
52,77.481,-147.954,245,0.12,1.41,0.039,0.02
52,77.481,-147.954,350,0,1.11,0.032,0.033
52,77.481,-147.954,450,0.17,0.49,0.039,0.021
52,77.481,-147.954,600,0.22,0.49,0.064,0.029
52,77.481,-147.954,601,0.21,1.03,0.058,0.035
52,77.481,-147.954,901,,0.46,0.01,0.027
52,77.481,-147.954,1201,0.41,0.47,0.016,0.028
52,77.481,-147.954,1501,0,0.75,0.016,
52,77.481,-147.954,1801,0,0.49,0.03,0.035
52,77.481,-147.954,2051,0,0.75,0.032,0.042
52,77.481,-147.954,2451,0,0.45,0.009,0.033
52,77.481,-147.954,2851,0.59,0.48,0.006,0.009
52,77.481,-147.954,3301,0.08,0.8,0.009,0.008
52,77.481,-147.954,3669,0.16,1.37,0.009,0.02
52,77.481,-147.954,3744,0.07,0.8,0.01,0.027
52,77.481,-147.954,3794,0,0.84,0.018,0.04
53,76.998,-148.798,1,0.06,1.72,,
53,76.998,-148.798,20,0.36,0.84,0.01,0.091
53,76.998,-148.798,41,0.29,1.65,0.019,0.102
53,76.998,-148.798,65,0.14,1.76,0.035,0.373
54,76.998,-148.801,1,0.04,0.96,0.015,0.042
54,76.998,-148.801,20,0.06,1.6,0.006,0.024
54,76.998,-148.801,41,0.4,0.75,0.01,0.111
54,76.998,-148.801,61,0.54,1.38,0.015,0.048
57,73.356,-156.81,1,0.13,1.06,0.001,0.045
57,73.356,-156.81,20,0.24,0.56,0.015,0.011
57,73.356,-156.81,21,0.06,0.65,0.001,0.081
57,73.493,-156.811,37,0.32,1.4,0.007,0.023
57,73.493,-156.811,58,0.65,1.22,0.011,0.023
57,73.493,-156.811,66,0.61,1.68,0.021,0.034
57,73.493,-156.811,86,0.7,1.55,0.017,0.011
57,73.493,-156.811,105,0.48,1.51,0.031,0.051
57,73.493,-156.811,126,0.05,1.71,0.059,0
57,73.493,-156.811,185,0.34,1.4,0.04,0
57,73.356,-156.81,185,0.35,1.06,0.013,0.011
57,73.356,-156.81,185,0.15,0.56,0.039,0.131
57,73.493,-156.811,234,0.35,1.32,0.087,0
57,73.493,-156.811,305,0.66,1.14,0.026,0.008
57,73.356,-156.81,444,,0.6,0.029,0.004
57,73.356,-156.81,444,0,0.79,0.071,0.047
57,73.493,-156.811,445,0,0.89,0.05,0
57,73.356,-156.81,550,,0.9,,
57,73.356,-156.81,550,0,0.94,0.053,0.035
57,73.493,-156.811,551,0.34,0.91,0.023,0.01
57,73.493,-156.811,551,0.39,1.05,0.03,0.025
57,73.493,-156.811,661,0.43,0.92,0.019,0.008
57,73.493,-156.811,751,0,0.46,0.03,0.015
57,73.493,-156.811,951,0.18,0.55,0.035,0.037
57,73.493,-156.811,1302,0.11,0.36,0.026,0.006
