Station,depth,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NITRAT_FLAG_W,NITRAT
7,1744,1764.60,0,2.71,1,34.70,1,139.36,1,2.07,1.00,62.52,1,0.01,6,1,30.69
7,1993,2018.10,0,2.63,1,34.74,1,141.45,1,1.94,1.00,59.79,1,0.01,6,1,28.37
7,2492,2525.90,0,2.44,1,34.78,1,143.46,1,1.79,1.00,58.10,1,0.01,6,1,26.10
7,2741,2780.30,0,2.35,1,34.77,1,142.76,1,1.76,1.00,59.09,1,0.01,6,1,25.45
7,2990,3034.80,0,2.26,1,34.76,1,145.10,1,1.73,1.00,60.82,1,0.01,6,1,25.91
7,3241,3291.30,0,2.06,1,34.72,1,148.13,1,1.80,1.00,67.87,1,0.01,6,1,26.37
7,3490,3546.90,0,1.78,1,34.66,1,150.85,1,1.91,1.00,79.48,1,0.01,6,1,27.68
7,3988,4057.10,0,1.23,1,34.67,1,155.77,1,2.10,1.00,100.80,1,0.01,6,1,30.09
7,4288,4365.40,0,1.11,1,34.70,1,159.18,1,2.16,1.00,106.46,1,0.01,6,1,30.68
7,4432,4513.20,0,1.11,1,34.73,1,160.62,1,2.17,1.00,107.50,1,0.01,6,1,30.72
8,4,3.90,0,14.52,1,34.86,1,248.56,1,,9.00,,9,,9,9,0.00
8,4,4.20,0,14.52,1,34.86,1,248.69,1,0.36,1.00,0.38,1,0.06,1,9,-0.06
8,4,4.20,0,14.52,1,34.86,1,248.48,1,0.36,1.00,0.38,1,0.06,1,9,-0.06
8,7,7.00,0,14.66,1,34.86,1,249.98,1,0.35,1.00,0.32,1,0.06,1,1,1.62
8,18,17.70,0,14.18,1,34.86,1,250.76,1,0.36,1.00,0.57,1,0.07,1,1,1.29
8,19,19.40,0,14.47,1,34.86,1,248.84,1,0.36,1.00,0.40,1,0.07,1,9,-0.07
8,19,19.50,0,14.47,1,34.86,1,249.18,1,,9.00,,9,,9,9,0.00
8,34,33.80,0,13.85,1,34.85,1,249.02,1,0.40,1.00,0.57,1,0.10,1,1,1.87
8,34,33.90,0,14.37,1,34.86,1,248.77,1,0.37,1.00,0.41,1,0.07,1,9,-0.07
8,34,34.50,0,14.37,1,34.86,1,248.57,1,0.36,1.00,0.40,1,0.07,1,9,-0.07
8,40,40.30,0,12.73,1,34.91,1,250.66,1,,9.00,,9,,9,9,0.00
8,41,41.50,0,14.34,1,34.86,1,248.82,1,0.37,1.00,0.40,1,0.07,1,9,-0.07
8,41,41.60,0,14.35,1,34.86,1,248.90,1,0.37,1.00,0.42,1,0.07,1,9,-0.07
8,41,41.70,0,14.35,1,34.86,1,248.71,1,0.37,1.00,0.41,1,0.07,1,9,-0.07
8,43,43.50,0,12.45,1,34.87,1,250.39,1,0.54,1.00,0.94,1,0.23,1,1,3.42
8,49,49.00,0,13.49,1,34.87,1,250.87,1,0.47,1.00,0.69,1,0.14,1,9,-0.14
8,49,49.20,0,13.35,1,34.87,1,251.28,1,0.46,1.00,0.68,1,0.15,1,9,-0.15
8,52,52.00,0,13.67,1,34.87,1,251.89,1,0.44,1.00,0.56,1,0.10,1,1,2.60
8,54,54.20,0,12.83,1,34.88,1,251.71,1,0.52,1.00,,9,,9,9,0.00
8,54,54.60,0,12.92,1,34.88,1,251.87,1,0.51,1.00,0.87,1,0.19,1,9,-0.19
8,74,74.60,0,11.26,1,34.87,1,250.78,1,0.67,1.00,1.84,1,0.56,1,9,-0.56
8,74,74.70,0,11.14,1,34.87,1,249.86,1,0.68,1.00,1.92,1,0.27,1,1,6.71
8,74,75.00,0,11.26,1,34.87,1,250.73,1,,9.00,,9,,9,9,0.00
8,98,98.60,0,10.88,1,34.87,1,247.90,1,0.71,1.00,2.22,1,0.01,1,1,7.56
8,99,99.90,0,10.88,1,34.87,1,248.29,1,,9.00,,9,,9,9,0.00
8,100,100.60,0,10.87,1,34.87,1,248.31,1,0.71,1.00,2.27,1,0.02,1,9,-0.02
8,102,102.50,0,10.93,1,34.87,1,249.38,1,0.62,1.00,1.63,1,0.04,1,1,6.08
8,149,149.90,0,10.77,1,34.91,1,247.54,1,0.74,1.00,2.55,1,0.01,1,1,8.29
8,198,200.10,0,10.52,1,34.88,1,246.16,1,,9.00,,9,,9,9,0.00
8,199,200.30,0,10.27,1,34.84,1,245.12,1,0.83,1.00,3.04,1,0.01,1,9,-0.01
8,199,200.90,0,10.27,1,34.84,1,245.29,1,0.83,1.00,3.05,1,0.01,1,9,-0.01
8,202,203.20,0,10.28,1,34.84,1,246.20,1,0.84,1.00,2.97,1,0.01,1,1,10.36
8,209,210.30,0,10.40,1,34.86,1,245.81,1,0.81,1.00,2.81,1,0.01,6,1,9.54
8,298,300.30,0,8.96,1,34.65,1,225.81,1,1.19,1.00,5.27,1,0.01,1,1,16.49
